,Start Date,End Date,Approving,Disapproving,Unsure/NoData,President,Approve_rolling,Disapprove_rolling,Unsure_rolling,Approve_change,Disapprove_change,Unsure_change
0,8/16/1974,8/19/1974,71,3,26,Gerald Ford,58.0,20.5,21.5,-22.413793103448278,85.36585365853658,-20.930232558139537
1,9/6/1974,9/9/1974,66,13,21,Gerald Ford,51.0,28.5,20.5,-29.411764705882355,54.385964912280706,-2.4390243902439024
2,9/27/1974,9/30/1974,50,28,22,Gerald Ford,53.0,28.5,18.5,5.660377358490567,1.7543859649122806,-18.91891891891892
3,10/11/1974,10/14/1974,52,29,19,Gerald Ford,50.5,30.5,19.0,-2.9702970297029703,4.918032786885246,0.0
4,10/18/1974,10/21/1974,54,28,18,Gerald Ford,47.5,32.5,20.0,-13.684210526315791,13.846153846153847,10.0
5,11/8/1974,11/11/1974,47,33,20,Gerald Ford,45.0,36.5,18.5,-4.444444444444445,9.58904109589041,-8.108108108108109
6,11/15/1974,11/18/1974,48,32,20,Gerald Ford,39.5,40.0,20.5,-21.518987341772153,20.0,2.4390243902439024
7,12/6/1974,12/9/1974,42,41,17,Gerald Ford,38.0,41.0,21.0,-10.526315789473683,0.0,19.047619047619047
8,1/10/1975,1/13/1975,37,39,24,Gerald Ford,39.0,44.0,17.0,5.128205128205128,11.363636363636363,-41.17647058823529
9,1/28/1975,2/3/1975,39,43,18,Gerald Ford,38.5,45.0,16.5,-1.2987012987012987,4.444444444444445,-9.090909090909092
10,2/28/1975,3/2/1975,39,45,16,Gerald Ford,37.5,44.0,18.5,-4.0,-2.272727272727273,13.513513513513514
11,3/7/1975,3/10/1975,38,45,17,Gerald Ford,40.5,40.0,19.5,6.172839506172839,-12.5,12.82051282051282
12,3/28/1975,3/31/1975,37,43,20,Gerald Ford,41.5,41.5,17.0,10.843373493975903,-3.614457831325301,-17.647058823529413
13,4/4/1975,4/7/1975,44,37,19,Gerald Ford,39.5,44.5,16.0,-11.39240506329114,16.853932584269664,-18.75
14,4/18/1975,4/21/1975,39,46,15,Gerald Ford,45.5,38.0,16.5,14.285714285714285,-21.052631578947366,9.090909090909092
15,5/2/1975,5/5/1975,40,43,17,Gerald Ford,51.5,33.0,15.5,22.330097087378643,-30.303030303030305,-9.67741935483871
16,5/30/1975,6/2/1975,51,33,16,Gerald Ford,48.5,35.0,16.5,-5.154639175257731,5.714285714285714,3.0303030303030303
17,6/27/1975,6/30/1975,52,33,15,Gerald Ford,45.5,37.0,17.5,-14.285714285714285,10.81081081081081,14.285714285714285
18,8/1/1975,8/4/1975,45,37,18,Gerald Ford,45.5,37.5,17.0,1.098901098901099,1.3333333333333335,-5.88235294117647
19,8/15/1975,8/18/1975,46,37,17,Gerald Ford,46.0,37.5,16.5,0.0,1.3333333333333335,-3.0303030303030303
20,9/12/1975,9/15/1975,45,38,17,Gerald Ford,47.0,38.5,14.5,4.25531914893617,1.2987012987012987,-17.24137931034483
21,10/3/1975,10/6/1975,47,37,16,Gerald Ford,45.5,42.0,12.5,-3.296703296703297,11.904761904761903,-28.000000000000004
22,10/17/1975,10/20/1975,47,40,13,Gerald Ford,42.5,45.0,12.5,-10.588235294117647,11.11111111111111,-4.0
23,10/31/1975,11/3/1975,44,44,12,Gerald Ford,43.5,41.5,15.0,-1.1494252873563218,-6.024096385542169,20.0
24,11/21/1975,11/24/1975,41,46,13,Gerald Ford,42.5,41.5,16.0,3.5294117647058822,-10.843373493975903,18.75
25,12/5/1975,12/8/1975,46,37,17,Gerald Ford,42.5,44.0,13.5,-8.235294117647058,15.909090909090908,-25.925925925925924
26,12/12/1975,12/15/1975,39,46,15,Gerald Ford,45.5,43.5,11.0,14.285714285714285,-5.747126436781609,-36.36363636363637
27,1/2/1976,1/5/1976,46,42,12,Gerald Ford,45.5,42.5,12.0,-1.098901098901099,1.1764705882352942,0.0
28,1/23/1976,1/26/1976,45,45,10,Gerald Ford,47.0,39.0,14.0,4.25531914893617,-15.384615384615385,28.57142857142857
29,1/30/1976,2/2/1976,46,40,14,Gerald Ford,49.0,37.0,14.0,6.122448979591836,-8.108108108108109,0.0
30,2/27/1976,3/1/1976,48,38,14,Gerald Ford,49.0,38.5,12.5,2.0408163265306123,1.2987012987012987,-12.0
31,3/19/1976,3/22/1976,50,36,14,Gerald Ford,47.5,39.5,13.0,-5.263157894736842,8.860759493670885,-7.6923076923076925
32,4/9/1976,4/12/1976,48,41,11,Gerald Ford,46.0,39.0,15.0,-4.3478260869565215,-5.128205128205128,26.666666666666668
33,5/20/1976,5/23/1976,47,38,15,Gerald Ford,49.0,36.0,15.0,4.081632653061225,-5.555555555555555,0.0
34,6/11/1976,6/14/1976,45,40,15,Gerald Ford,,,,,,
35,12/10/1976,12/13/1976,53,32,15,Gerald Ford,,,,,,
